"ID","time","market","cap","soe","industry","sales","net profit","book value","cash","inventory","asset","current asset","current debt","debt","equity","stock price","eps","pe"
"FPT","2015","hcm","big","no","viễn thông","27452.9","2945.3","16.7","3584.7","4572.6","24915.19","23304.8","9992.8","12313.7","10182.29","27.7","3.2","4.5"
"FPT","2014","hcm","big","no","viễn thông","27452.9","2526.2","15.2","4336.3","4572.6","22658.32","22658.3","9992.8","12313.7","9257.82","23","2.7","3.8"
"FPT","2013","hcm","big","no","viễn thông","27027.9","2065.3","11.8","2751","","17570.56","17570.6","9068.7","9316.7","8253.86","17.3","2.6","3"
"FPT","2012","hcm","big","no","viễn thông","24594.3","1985.5","10.1","2318.9","2699.5","14209.16","14209.2","6423.2","7114.9","7094.26","12.5","2.5","2.2"
"FPT","2011","hcm","big","no","viễn thông","25370.2","2079.1","9.1","2902.4","3275.9","14943.11","14943.1","8475.5","8717.3","6225.81","13.2","2.8","1.7"
"FPT","2010","hcm","big","no","viễn thông","20017.3","1691.8","6.5","1436.1","2448.5","12304.53","12304.5","5214.2","7255.5","5049.03","16.6","2.1","2.5"
"FPT","2009","hcm","big","no","viễn thông","18404","1405.9","5","2310.5","1426","10395.42","10395.4","4765.8","6677.5","3717.92","15.1","1.7","2"
"FPT","2008","hcm","big","no","viễn thông","16381.8","1051","4","1242.5","1224","6124.88","6124.8","3160.4","3165.4","2959.48","9.2","1.4","1.5"
"FPT","2007","hcm","big","no","viễn thông","13498.9","880.3","3.2","","1428.2","5356.04","5356.1","3064.7","3131.2","2224.84","26.1","1.2","3.3"
"HPG","2016","hcm","big","no","xây dựng","27452.9","3615.5","9.4","4558.7","4572.6","24915.19","23304.8","9992.8","12313.7","13475.4","19.2","3.1","2.5"
"HPG","2015","hcm","big","no","xây dựng","27452.9","3523.3","6.8","2372.8","4572.6","24915.19","23304.8","9992.8","11040.1","13475.4","11","1.6","2.3"
"HPG","2014","hcm","big","no","xây dựng","25525.3","3356.2","5.6","2026.3","4572.6","22089.14","22089.1","9016.8","10123.8","11965.34","13","1.5","1.9"
"HPG","2013","hcm","big","no","xây dựng","18934.3","2010.4","4.5","2125.3","4572.6","23076.36","23076.4","9992.8","12313.7","9586.96","8.5","0.9","1.8"
"HPG","2012","hcm","big","no","xây dựng","16826.9","1030.5","3.8","1294.5","4572.6","19015.76","19015.8","7362","10438.2","8577.56","4.2","0.5","1.8"
"HPG","2011","hcm","big","no","xây dựng","17851.9","1296.9","3.5","1064.4","4572.6","17524.73","17524.7","6646.6","9561.1","7963.63","2.5","0.6","0.6"
"HPG","2010","hcm","big","no","xây dựng","14267.1","1376.3","3","1047.2","4540.8","14903.69","14903.7","6136.5","8165.7","6737.99","5.6","0.6","1.3"
"HPG","2009","hcm","big","no","xây dựng","8123.4","1270.7","2.3","1480.5","2556.7","10243.25","10243.2","4638.8","5178.3","5064.95","5.4","0.6","0.8"
"HPG","2008","hcm","big","no","xây dựng","8364.8","859.4","1.9","510.2","1820.2","5639.38","5639.4","1256.3","1294.1","4345.28","2.8","0.4","0.6"
